,freq_total,nodes,edges,pedge00,pedge11,pnode,total_states
198,654,4,4.0,0.0,1.0,0,16.0
199,240,4,4.0,0.0,2.0,0,16.0
200,79,4,4.0,2.0,0.0,1,16.0
201,2053,4,4.0,1.0,0.0,0,16.0
202,21,4,4.0,1.0,1.0,1,16.0
203,923,4,4.0,0.0,1.0,0,16.0
204,687,4,4.0,0.0,1.0,0,16.0
205,224,4,4.0,0.0,2.0,0,16.0
206,77,4,4.0,0.0,3.0,0,16.0
207,58,4,4.0,0.0,4.0,0,16.0
208,5,4,3.0,3.0,0.0,4,16.0
209,11,4,3.0,2.0,0.0,2,16.0
210,5,4,3.0,2.0,0.0,2,16.0
211,66,4,3.0,1.0,0.0,1,16.0
212,4292,4,3.0,0.0,0.0,0,16.0
213,223,4,3.0,0.0,1.0,0,16.0
214,261,4,3.0,0.0,1.0,0,16.0
215,41,4,3.0,0.0,2.0,0,16.0
216,8,4,3.0,2.0,0.0,2,16.0
217,61,4,3.0,1.0,0.0,1,16.0
218,64,4,3.0,1.0,0.0,1,16.0
219,4545,4,3.0,0.0,0.0,0,16.0
220,246,4,3.0,0.0,1.0,0,16.0
221,44,4,3.0,0.0,2.0,0,16.0
222,43,4,3.0,0.0,2.0,0,16.0
223,76,4,3.0,0.0,3.0,0,16.0
224,1,4,5.0,5.0,0.0,4,16.0
225,899,4,5.0,2.0,0.0,0,16.0
226,46,4,5.0,3.0,0.0,1,16.0
227,304,4,5.0,1.0,1.0,0,16.0
228,50,4,5.0,3.0,0.0,1,16.0
229,291,4,5.0,1.0,1.0,0,16.0
230,3251,4,5.0,1.0,0.0,0,16.0
231,245,4,5.0,0.0,2.0,0,16.0
232,898,4,5.0,2.0,0.0,0,16.0
233,2695,4,5.0,0.0,1.0,0,16.0
234,291,4,5.0,1.0,1.0,0,16.0
235,201,4,5.0,0.0,3.0,0,16.0
236,320,4,5.0,1.0,1.0,0,16.0
237,185,4,5.0,0.0,3.0,0,16.0
238,253,4,5.0,0.0,2.0,0,16.0
239,61,4,5.0,0.0,5.0,0,16.0
240,4,4,4.0,4.0,0.0,4,16.0
241,87,4,4.0,2.0,0.0,1,16.0
242,87,4,4.0,2.0,0.0,1,16.0
243,22,4,4.0,1.0,1.0,1,16.0
244,18,4,4.0,3.0,0.0,2,16.0
245,2069,4,4.0,1.0,0.0,0,16.0
246,2093,4,4.0,1.0,0.0,0,16.0
247,987,4,4.0,0.0,1.0,0,16.0
248,2615,4,4.0,1.0,0.0,0,16.0
249,695,4,4.0,0.0,1.0,0,16.0
250,676,4,4.0,0.0,1.0,0,16.0
251,76,4,4.0,0.0,3.0,0,16.0
252,108,4,4.0,1.0,1.0,0,16.0
253,215,4,4.0,0.0,2.0,0,16.0
254,198,4,4.0,0.0,2.0,0,16.0
255,43,4,4.0,0.0,4.0,0,16.0
256,2,4,4.0,4.0,0.0,4,16.0
257,2578,4,4.0,1.0,0.0,0,16.0
258,17,4,4.0,3.0,0.0,2,16.0
259,105,4,4.0,1.0,1.0,0,16.0
260,91,4,4.0,2.0,0.0,1,16.0
261,681,4,4.0,0.0,1.0,0,16.0
262,2085,4,4.0,1.0,0.0,0,16.0
263,224,4,4.0,0.0,2.0,0,16.0
264,73,4,4.0,2.0,0.0,1,16.0
265,749,4,4.0,0.0,1.0,0,16.0
266,2048,4,4.0,1.0,0.0,0,16.0
267,217,4,4.0,0.0,2.0,0,16.0
268,35,4,4.0,1.0,1.0,1,16.0
269,76,4,4.0,0.0,3.0,0,16.0
